Aaaaaaaaaaaaa+++++++++++++++,5,Buyer: m***y ( 125) ,2013-05-26
Beautiful ring! Thank you,5,Buyer: z***1 ( 22) ,2013-05-25
I can not believe how beautiful this ring is. Wow. A+ ,5,Buyer: y***b ( 19) ,2013-05-25
"AMAZING QUALITY! In love with my earrings and ring. Beautiful packaging,too. A++",5,Buyer: s***a ( 6 ) ,2013-05-24
Absolutely Gorgeous! I love it and the earrings were a nice treat Thank You!,5,Buyer: k***r ( 181) ,2013-05-24
fast service and my wife happy with the ring,5,Buyer: f***s ( 112) ,2013-05-24
A million thanks! Ring was PERFECT WOW! TY for the EARRINGS TOO! So unexpected! ,5,Buyer: i***e ( 9 ) ,2013-05-23
Excellent transaction. Very nice transaction. Bid and buy with confidence.,5,Buyer: t***r ( 106) ,2013-05-22
"Beautiful ring, Fast shipping",5,Buyer: 4***4 ( 325) ,2013-05-22
Absolutely amazing!!! I love it so much thank you so so much!! Got it fast too!!,5,Buyer: r***1 ( 7 ) ,2013-05-22
Absolutely gorgeous!!! Thank you!,5,Buyer: r***r ( 823) ,2013-05-20
"beautiful craftsmanship, excellent communication",5,Buyer: r***1 ( 12) ,2013-05-19
Awesome ring..fast shipment. Thank you,5,Buyer: s***o ( 79) ,2013-05-17
beautiful ring ! at great price !,5,Buyer: f***n ( 110) ,2013-05-16
Wow! The ring is beautiful! Thank you,5,Buyer: r***r ( 210) ,2013-05-15
Beautiful ring! I love it! Great communication and delivery.,5,Buyer: m***d ( 2 ) ,2013-05-15
Looks great!,5,Buyer: 5***0 ( 48) ,2013-05-15
Good people ,5,Buyer: i***n ( 5 ) ,2013-05-14
"Thank you so much for the beautiful rings, the bonus and the excellent service!!",5,Buyer: s***t ( 416) ,2013-05-14
A+++ 5 STAR SELLER THANKS...,5,Buyer: a***o ( 32) ,2013-05-13
If you exchange and issue refund I agree to not post negative feedback on Ebay,5,Buyer: s***i ( 4 ) ,2013-05-12
Gorgeous!! THANK YOU for making my day :),5,Buyer: a***a ( 197) ,2013-05-12
Excellent transaction,5,Buyer: m***p ( 1527) ,2013-05-11
Quick delivery across border. I have a happy wife!,5,Buyer: m***h ( 260) ,2013-05-10
Great seller super fast shipping a plus.Thanks it really looks nice!!!,5,Buyer: 4***4 ( 120) ,2013-05-09
thx for all the help,5,Buyer: y***r ( 27) ,2013-05-09
The ring my fiancÌ© bought me is absolutely amazing! I love it! Beautiful piece! ,5,Buyer: w***l ( 52) ,2013-05-08
"Beautiful ring, sized perfectly, shipped quickly, Great Seller!****",5,Buyer: j***p ( 580) ,2013-05-08
Great seller. She loved the rings....Thanks,5,Buyer: _***_ ( 1904) ,2013-05-07
Item as described. Very nice A+++ seller Great communication,5,Buyer: t***t ( 212) ,2013-05-07
Stunning ring. Just amazing and breathtaking for the price as well.,5,Buyer: b***h ( 1 ) ,2013-05-06
thank you so much!! I absolutely loved it!!,5,Buyer: u***t ( 2 ) ,2013-05-06
Awesome shipping and great buy! Wonderful communication,5,Buyer: 0***0 ( 66) ,2013-05-06
"More beautiful than picture, received quickly plus bonus earrings not expected",5,Buyer: s***n ( 45) ,2013-05-06
